"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ITQ2ID7A","journalArticle","","Bacha-Trams Mareike, Ryyppo Elisa","Social perspective-takingshapes brain hemodynamic activity and eye movements during movie viewing","","","","10.1093/scan/nsaa033","","Putting oneself into the shoes of others is an important aspect of social cognition. We measured brain hemodynamic activity and eye-gaze patterns while participants were viewing a shortened version of the movie 'My Sister's Keeper' from two perspectives: that of a potential organ donor, who violates moral norms by refusing to donate her kidney, and that of a potential organ recipient, who suffers in pain. Inter-subject correlation (ISC) of brain activity was significantly higher during the potential organ donor's perspective in dorsolateral and inferior prefrontal, lateral and inferior occipital, and inferior-anterior temporal areas. In the reverse contrast, stronger ISC was observed in superior temporal, posterior frontal and anterior parietal areas. Eye-gaze analysis showed higher proportion of fixations on the potential organ recipient during both perspectives. Taken together, these results suggest that during social perspective-taking different brain areas can be flexibly recruited depending on the nature of the perspective that is taken.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 32227094.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V7F9MBC8","journalArticle","","Han Junwei, Chen Changyuan","Learning Computational Models of Video Memorability from fMRI Brain Imaging","","","","10.1109/TCYB.2014.2358647","","Generally, various visual media are unequally memorable by the human brain. This paper looks into a new direction of modeling the memorability of video clips and automatically predicting how memorable they are by learning from brain functional magnetic resonance imaging (fMRI). We propose a novel computational framework by integrating the power of low-level audiovisual features and brain activity decoding via fMRI. Initially, a user study experiment is performed to create a ground truth database for measuring video memorability and a set of effective low-level audiovisual features is examined in this database. Then, human subjects' brain fMRI data are obtained when they are watching the video clips. The fMRI-derived features that convey the brain activity of memorizing videos are extracted using a universal brain reference system. Finally, due to the fact that fMRI scanning is expensive and time-consuming, a computational model is learned on our benchmark dataset with the objective of maximizing the correlation between the low-level audiovisual features and the fMRI-derived features using joint subspace learning. The learned model can then automatically predict the memorability of videos without fMRI scans. Evaluations on publically available image and video databases demonstrate the effectiveness of the proposed framework.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 25314715.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTMWYQS5","journalArticle","","Park Mi-Sook, Lee Bae Hwan","Neural substrates involved in anger induced by audio-visual film clips among patients with alcohol dependency","","","","10.1186/s40101-016-0102-x","","Background: Very little is known about the neural circuitry underlying anger processing among alcoholics. The purpose of this study was to examine the altered brain activity of alcoholic individuals during transient anger emotion.Methods: Using functional magnetic resonance imaging (fMRI), 18 male patients diagnosed with alcohol dependence in an inpatient alcohol treatment facility and 16 social drinkers with similar demographics were scanned during the viewing of anger-provoking film clips.Results: While there was no significant difference in the level of experienced anger between alcohol-dependent patients and non-alcoholic controls, significantly greater activation was observed in the bilateral dorsal anterior cingulate cortex (dACC) and the right precentral gyrus among alcoholic patients compared to the normal controls.Conclusions: In summary, specific brain regions were identified that are associated with anger among patients with alcohol dependency.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 27392571.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQX3WNAT","journalArticle","","Pidnebesna Anna, Tomecek David","BRAD: Software for BRain Activity Detection from hemodynamic response","","","","10.1016/j.cmpb.2017.12.021","","Background and objective: Precise estimation of neuronal activity from neuroimaging data is one of the central challenges of the application of noninvasive neuroimaging methods. One of the widely used methods for studying brain activity is functional magnetic resonance imaging, which is a neuroimaging procedure that measures brain activity based on the blood oxygenation level dependent effect. The blood oxygenation level dependent signal can be modeled as a linear convolution of a hemodynamic response function with an input signal corresponding to the neuronal activity. Estimating such input signals is a complicated problem.Methods: We present a software tool for estimation of brain neuronal activity, which uses a combination of Wiener filtering with deconvolution methods, including the least absolute shrinkage and selection operator, the ordinary least squares method, and the Dantzig selector. The latter two are equipped with both established selection criteria (Akaike and Bayesian information criterion) as well as newly developed mixture criteria for selection of activations.Results: The software tool was tested on two types of data: measurements during basic visual experiments and during complex naturalistic audiovisual stimulation (watching a movie segment). During testing the software showed reasonable results, with the mixture criteria performing well for temporally extended activations.Conclusions: The presented software tool can be used for estimation, visualization, and analysis of brain neuronal activity from functional magnetic resonance imaging blood oxygenation level dependent measurements. The implemented methods provide valid results not only in the sparse activity scenario studied previously but also for temporally extended activations. (C) 2017 Elsevier B.V. All rights reserved.","","2023-11-10 12:46:24","2023-12-01 15:09:54","","","","","","","","","","","","","","","","","","","","","","PMID: 29428062.0","","","","fMRI; OUT-OF-SCOPE; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPHQYW3R","journalArticle","","Antonio, Maffei","Spectrally resolved EEG intersubject correlation reveals distinct cortical oscillatory patterns during free-viewing of affective scenes","","","","10.1111/psyp.13652","","The analysis of the similarity of the brain response of different individuals using intersubject correlation (ISC) can be used to uncover the neural mechanisms behind the processing of complex audiovisual stimuli, and to understand how the brain works in real-life situations. Previous research on ISC reported anecdotal evidence of larger ISC during emotional scenes compared to neutral ones, but this effect has not been systematically investigated using standardized emotional movies. Moreover, the complex interplay between neuronal populations oscillating at different timescales was mainly studied through fMRI, thus with limited temporal resolution. This study aimed at showing how emotional movies synchronize brain activity in the main frequency bands characterizing cortical activity. Thirty-nine participants watched 18 movie clips selected from a standardized database of emotional movies (E-MOVIE) while their EEG activity was recorded. Spectrally resolved ISC was computed based on the coherence of homologous channels for each possible subject pair in the Delta, Alpha, and Gamma bands. Permutation-based statistics revealed that all emotional categories prompted larger ISC compared to the Neutral in each band. Moreover, high arousal erotic and fearful scenes prompted larger Delta-ISC and Gamma-ISC compared to the other categories. Finally, ISC topography followed a spatial gradient. At slower frequencies, ISC involved wider regions of the scalp, becoming more restricted to occipito-parietal regions at higher frequencies. Taken together, these results show that emotions trigger brain synchronization between individuals at multiple spatial and spectral scales. Different emotional states are reflected in specific topographical patterns of ISC in different frequency bands.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 33460185.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZT7YXFE","journalArticle","","Wagner Dylan D., Dal Cin Sonya","Spontaneous Action Representation in Smokers when Watching Movie Characters Smoke","","","","10.1523/JNEUROSCI.5174-10.2011","","Do smokers simulate smoking when they see someone else smoke? For regular smokers, smoking is such a highly practiced motor skill that it often occurs automatically, without conscious awareness. Research on the brain basis of action observation has delineated a frontoparietal network that is commonly recruited when people observe, plan, or imitate actions. Here, we investigated whether this action observation network would be preferentially recruited in smokers when viewing complex smoking cues, such as those occurring in motion pictures. Seventeen right-handed smokers and 17 nonsmokers watched a popular movie while undergoing functional magnetic resonance imaging. Using a natural stimulus, such as a movie, allowed us to keep both smoking and nonsmoking participants naive to the goals of the experiment. Brain activity evoked by movie scenes of smoking was contrasted with nonsmoking control scenes that were matched for frequency and duration. Compared with nonsmokers, smokers showed greater activity in left anterior intraparietal sulcus and inferior frontal gyrus, regions involved in the simulation of contralateral hand-based gestures, when viewing smoking versus control scenes. These results demonstrate that smokers spontaneously represent the action of smoking when viewing others smoke, the consequence of which may make it more difficult to abstain from smoking.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 21248113.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8GAITB2C","journalArticle","","Ritz Thomas, Kroll Juliet L.","Central nervous system signatures of affect in asthma: associations with emotion-induced bronchoconstriction, airway inflammation, and asthma control","","","","10.1152/japplphysiol.01018.2018","","The effects of asthma on affect have been noted for some time, but little is known about associated brain processes. We therefore examined whether emotion-induced bronchoconstriction, airway inflammation, and asthma control are related to specific patterns of brain activity during processing negative affective stimuli. Fifteen adults with asthma viewed alternating blocks of distressing film clips (negative condition), affectively neutral film clips (neutral condition), and a crosshair image (baseline condition) while undergoing blood oxygenation level-dependent (BOLD) functional MRI (fMRI). Block-design fMRI analysis evaluated the BOLD response to negative-baseline and neutral-baseline contrasts. Airway response to these film clips was also assessed with impulse oscillometry in a separate session. Measures of airway inflammation [fractional exhaled nitric oxide (FENO)] and asthma control [Asthma Control Questionnaire (ACQ)] were additionally obtained. A whole brain voxel-based regression analysis of contrast maps was performed against respiratory resistance increase during negative and neutral films, FENO, and ACQ. Peak airway obstruction to negative affective stimulation was associated with stronger activation of the anterior and middle cingulate gyrus, including the dorsal anterior cingulate cortex (dACC). Stronger airway inflammation and lower asthma control were associated with reduced activation to negative stimuli in the superior frontal gyrus, middle cingulate gyrus, and supplementary motor area. Activation of the dACC in negativeaffect-induced airway obstruction could be part of an integrated defensive response to critical environmental change. In addition, reduced frontal and limbic activation during processing of negative affect may reflect consequences of pathophysiological processes for CNS functioning.NEW & NOTEWORTHY This functional magnetic resonance imaging study shows, for the first time, that the degree of airway constriction due to negative affective stimuli in asthma is associated with stronger response to these stimuli in the dorsal anterior and middle cingulate cortex. Asthma patients with stronger airway inflammation and reduced asthma control also show reduced activation in a number of cortical and subcortical areas relevant for affective processing and breathing control.","","2023-11-10 12:46:24","2023-12-01 15:12:30","","","","","","","","","","","","","","","","","","","","","","PMID: 30920889.0","","","","Bodily Signals; Disease-Related; fMRI; Link between neural correlates and bodily signals; Short Clips","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7G8ZPRV","journalArticle","","St-Laurent Marie, Rosenbaum R. Shayna","Representation of viewed and recalled film clips in patterns of brain activity in a person with developmental amnesia","","","","10.1016/j.neuropsychologia.2020.107436","","nan","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 32194085.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A949XCJL","journalArticle","","Dmochowski Jacek P., Sajda Paul","Correlated components of ongoing EEG point to emotionally laden attention - a possible marker of engagement?","","","","10.3389/fnhum.2012.00112","","Recent evidence from functional magnetic resonance imaging suggests that cortical hemodynamic responses coincide in different subjects experiencing a common naturalistic stimulus. Here we utilize neural responses in the electroencephalogram( EEG) evoked by multiple presentations of short film clips to index brain states marked by high levels of correlation within and across subjects. We formulate a novel signal decomposition method which extracts maximally correlated signal components from multiple EEG records. The resulting components capture correlations down to a one-second time resolution, thus revealing that peak correlations of neural activity across viewings can occur in remarkable correspondence with arousing moments of the film. Moreover, a significant reduction in neural correlation occurs upon a second viewing of the film or when the narrative is disrupted by presenting its scenes scrambled in time. We also probe oscillatory brain activity during periods of heightened correlation, and observe during such times a significant increase in the theta band for a frontal component and reductions in the alpha and beta frequency bands for parietal and occipital components. Low-resolution EEG tomography of these components suggests that the correlated neural activity is consistent with sources in the cingulate and orbitofrontal cortices. Put together, these results suggest that the observed synchrony reflects attention and emotion-modulated cortical processing which may be decoded with high temporal resolution by extracting maximally correlated components of neural activity.","","2023-11-10 12:46:24","2023-12-01 15:07:41","","","","","","","","","","","","","","","","","","","","","","PMID: 22623915.0","","","","EEG/MEG; Impact of Attention","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HH3FAPK6","journalArticle","","Chang Wei-Tang, Jaaskelainen Iiro P.","Combined MEG and EEG show reliable patterns of electromagnetic brain activity during natural viewing","","","","10.1016/j.neuroimage.2015.03.066","","Naturalistic stimuli such as movies are increasingly used to engage cognitive and emotional processes during fMRI of brain hemodynamic activity. However, movies have been little utilized during magnetoencephalography (MEG) and EEG that directly measure population-level neuronal activity at a millisecond resolution. Here, subjects watched a 17-min segment from the movie Crash (Lionsgate Films, 2004) twice during simultaneous MEG/EEG recordings. Physiological noise components, including ocular and cardiac artifacts, were removed using the DRIFTER algorithm. Dynamic estimates of cortical activity were calculated using MRI-informed minimum-norm estimation. To improve the signal-to-noise ratio (SNR), principal component analyses (PCA) were employed to extract the prevailing temporal characteristics within each anatomical parcel of the Freesurfer Desikan-Killiany cortical atlas. A variety of alternative inter-subject correlation (ISC) approaches were then utilized to investigate the reliability of inter-subject synchronization during natural viewing. In the first analysis, the ISCs of the time series of each anatomical region over the full time period across all subject pairs were calculated and averaged. In the second analysis, dynamic ISC (dISC) analysis, the correlation was calculated over a sliding window of 200 ms with 3.3 ms steps. Finally, in a between-run ISC analysis, the between-run correlation was calculated over the dynamic ISCs of the two different runs after the Fisher z-transformation. Overall, the most reliable activations occurred in occipital/inferior temporal visual and superior temporal auditory cortices as well as in the posterior cingulate, precuneus, pre- and post-central gyri, and right inferior and middle frontal gyri. Significant between-run ISCs were observed in superior temporal auditory cortices and inferior temporal visual cortices. Taken together, our results show that movies can be utilized as naturalistic stimuli in MEG/EEG similarly as in fMRI studies. (C) 2015 Elsevier Inc. All rights reserved.","","2023-11-10 12:46:24","2023-12-01 15:07:37","","","","","","","","","","","","","","","","","","","","","","PMID: 25842290.0","","","","EEG/MEG; Recording Technique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
