PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37724831","Emotional arousal pattern (EMAP): A new database for modeling momentary subjective and psychophysiological responding to affective stimuli","Eisenbarth H, Oxner M, Shehu HA, Gastrell T, Walsh A, Browne WN, Xue B.","Psychophysiology. 2023 Sep 19:e14446. doi: 10.1111/psyp.14446. Online ahead of print.","Eisenbarth H","Psychophysiology","2023","2023/09/19","","","10.1111/psyp.14446"
"35680054","Act natural: Functional connectivity from naturalistic stimuli fMRI outperforms resting-state in predicting brain activity","Gal S, Coldham Y, Tik N, Bernstein-Eliav M, Tavor I.","Neuroimage. 2022 Sep;258:119359. doi: 10.1016/j.neuroimage.2022.119359. Epub 2022 Jun 6.","Gal S","Neuroimage","2022","2022/06/09","","","10.1016/j.neuroimage.2022.119359"
"35635753","A generalized cortical activity pattern at internally generated mental context boundaries during unguided narrative recall","Lee H, Chen J.","Elife. 2022 May 30;11:e73693. doi: 10.7554/eLife.73693.","Lee H","Elife","2022","2022/05/31","PMC9177147","","10.7554/eLife.73693"
"35586919","Principal component analysis reveals multiple consistent responses to naturalistic stimuli in children and adults","Di X, Biswal BB.","Hum Brain Mapp. 2022 Aug 1;43(11):3332-3345. doi: 10.1002/hbm.25568. Epub 2022 May 19.","Di X","Hum Brain Mapp","2022","2022/05/19","PMC9248318","","10.1002/hbm.25568"
"35567906","Comparing the Effectiveness of Brain Structural Imaging, Resting-state fMRI, and Naturalistic fMRI in Recognizing Social Anxiety Disorder in Children and Adolescents","Zhang Q, Li B, Jin S, Liu W, Liu J, Xie S, Zhang L, Kang Y, Ding Y, Zhang X, Cheng W, Yang Z.","Psychiatry Res Neuroimaging. 2022 Jul;323:111485. doi: 10.1016/j.pscychresns.2022.111485. Epub 2022 Apr 26.","Zhang Q","Psychiatry Res Neuroimaging","2022","2022/05/14","","","10.1016/j.pscychresns.2022.111485"
"35528348","Stress Classification Using Brain Signals Based on LSTM Network","Phutela N, Relan D, Gabrani G, Kumaraguru P, Samuel M.","Comput Intell Neurosci. 2022 Apr 28;2022:7607592. doi: 10.1155/2022/7607592. eCollection 2022.","Phutela N","Comput Intell Neurosci","2022","2022/05/09","PMC9071939","","10.1155/2022/7607592"
"35516809","Multiframe Evolving Dynamic Functional Connectivity (EVOdFNC): A Method for Constructing and Investigating Functional Brain Motifs","Miller RL, Vergara VM, Pearlson GD, Calhoun VD.","Front Neurosci. 2022 Apr 19;16:770468. doi: 10.3389/fnins.2022.770468. eCollection 2022.","Miller RL","Front Neurosci","2022","2022/05/06","PMC9063321","","10.3389/fnins.2022.770468"
"35358612","No effect of focused attention and open monitoring meditation on EEG auditory mismatch negativity in expert and novice practitioners","Fucci E, Poublan-Couzardot A, Abdoun O, Lutz A.","Int J Psychophysiol. 2022 Jun;176:62-72. doi: 10.1016/j.ijpsycho.2022.03.010. Epub 2022 Mar 28.","Fucci E","Int J Psychophysiol","2022","2022/03/31","","","10.1016/j.ijpsycho.2022.03.010"
"35344336","Cerebrospinal Fluid-philic and Biocompatibility-Enhanced Soft Cranial Window for Long-Term In Vivo Brain Imaging","Kim JU, Park H, Ok J, Lee J, Jung W, Kim J, Kim J, Kim S, Kim YH, Suh M, Kim TI.","ACS Appl Mater Interfaces. 2022 Apr 6;14(13):15035-15046. doi: 10.1021/acsami.2c01929. Epub 2022 Mar 28.","Kim JU","ACS Appl Mater Interfaces","2022","2022/03/28","","","10.1021/acsami.2c01929"
"35332915","The role of eye-specific attention in ocular dominance plasticity","Song F, Lyu L, Zhao J, Bao M.","Cereb Cortex. 2023 Feb 7;33(4):983-996. doi: 10.1093/cercor/bhac116.","Song F","Cereb Cortex","2023","2022/03/25","PMC9930618","","10.1093/cercor/bhac116"
"35286574","Classification of Contrasting Discrete Emotional States Indicated by EEG Based Graph Theoretical Network Measures","Kılıç B, Aydın S.","Neuroinformatics. 2022 Oct;20(4):863-877. doi: 10.1007/s12021-022-09579-2. Epub 2022 Mar 14.","Kılıç B","Neuroinformatics","2022","2022/03/14","","","10.1007/s12021-022-09579-2"
"35272271","Identifying similarities and differences in emotion recognition with EEG and eye movements among Chinese, German, and French People","Liu W, Zheng WL, Li Z, Wu SY, Gan L, Lu BL.","J Neural Eng. 2022 Mar 28;19(2). doi: 10.1088/1741-2552/ac5c8d.","Liu W","J Neural Eng","2022","2022/03/10","","","10.1088/1741-2552/ac5c8d"
"35244856","Inferring Brain State Dynamics Underlying Naturalistic Stimuli Evoked Emotion Changes With dHA-HMM","Tan C, Liu X, Zhang G.","Neuroinformatics. 2022 Jul;20(3):737-753. doi: 10.1007/s12021-022-09568-5. Epub 2022 Mar 4.","Tan C","Neuroinformatics","2022","2022/03/04","","","10.1007/s12021-022-09568-5"
"35015874","High-Order Areas and Auditory Cortex Both Represent the High-Level Event Structure of Music","Williams JA, Margulis EH, Nastase SA, Chen J, Hasson U, Norman KA, Baldassano C.","J Cogn Neurosci. 2022 Mar 5;34(4):699-714. doi: 10.1162/jocn_a_01815.","Williams JA","J Cogn Neurosci","2022","2022/01/11","PMC9169871","","10.1162/jocn_a_01815"
"34975371","Functional Subdivisions of the Cerebellum in Naturalistic Paradigm Functional Magnetic Resonance Imaging","Hao J, Hu X, Wang L, Guo L, Han J.","Front Neurosci. 2021 Dec 17;15:748561. doi: 10.3389/fnins.2021.748561. eCollection 2021.","Hao J","Front Neurosci","2021","2022/01/03","PMC8719453","","10.3389/fnins.2021.748561"
"34968175","Separating Stimulus-Induced and Background Components of Dynamic Functional Connectivity in Naturalistic fMRI","Ting CM, Skipper JI, Noman F, Small SL, Ombao H.","IEEE Trans Med Imaging. 2022 Jun;41(6):1431-1442. doi: 10.1109/TMI.2021.3139428. Epub 2022 Jun 1.","Ting CM","IEEE Trans Med Imaging","2022","2021/12/30","","","10.1109/TMI.2021.3139428"
"34926739","ECSMP: A dataset on emotion, cognition, sleep, and multi-model physiological signals","Gao Z, Cui X, Wan W, Zheng W, Gu Z.","Data Brief. 2021 Dec 1;39:107660. doi: 10.1016/j.dib.2021.107660. eCollection 2021 Dec.","Gao Z","Data Brief","2021","2021/12/20","PMC8648963","","10.1016/j.dib.2021.107660"
"34858157","Single-Trial MEG Data Can Be Denoised Through Cross-Subject Predictive Modeling","Ravishankar S, Toneva M, Wehbe L.","Front Comput Neurosci. 2021 Nov 11;15:737324. doi: 10.3389/fncom.2021.737324. eCollection 2021.","Ravishankar S","Front Comput Neurosci","2021","2021/12/03","PMC8632362","","10.3389/fncom.2021.737324"
"34800663","Functional selectivity for social interaction perception in the human superior temporal sulcus during natural viewing","Lee Masson H, Isik L.","Neuroimage. 2021 Dec 15;245:118741. doi: 10.1016/j.neuroimage.2021.118741. Epub 2021 Nov 17.","Lee Masson H","Neuroimage","2021","2021/11/20","","","10.1016/j.neuroimage.2021.118741"
"34673987","Default and control network connectivity dynamics track the stream of affect at multiple timescales","Lettieri G, Handjaras G, Setti F, Cappello EM, Bruno V, Diano M, Leo A, Ricciardi E, Pietrini P, Cecchetti L.","Soc Cogn Affect Neurosci. 2022 May 5;17(5):461-469. doi: 10.1093/scan/nsab112.","Lettieri G","Soc Cogn Affect Neurosci","2022","2021/10/21","PMC9071410","","10.1093/scan/nsab112"
"34611185","Exploring﻿ electroencephalography with a model inspired by quantum mechanics","Popiel NJM, Metrow C, Laforge G, Owen AM, Stojanoski B, Soddu A.","Sci Rep. 2021 Oct 5;11(1):19771. doi: 10.1038/s41598-021-97960-7.","Popiel NJM","Sci Rep","2021","2021/10/06","PMC8492705","","10.1038/s41598-021-97960-7"
"34531284","Cognitive and Neural State Dynamics of Narrative Comprehension","Song H, Park BY, Park H, Shim WM.","J Neurosci. 2021 Oct 27;41(43):8972-8990. doi: 10.1523/JNEUROSCI.0037-21.2021. Epub 2021 Sep 16.","Song H","J Neurosci","2021","2021/09/17","PMC8549535","","10.1523/JNEUROSCI.0037-21.2021"
"34503996","Generalizable EEG Encoding Models with Naturalistic Audiovisual Stimuli","Desai M, Holder J, Villarreal C, Clark N, Hoang B, Hamilton LS.","J Neurosci. 2021 Oct 27;41(43):8946-8962. doi: 10.1523/JNEUROSCI.2891-20.2021. Epub 2021 Sep 9.","Desai M","J Neurosci","2021","2021/09/10","PMC8549533","","10.1523/JNEUROSCI.2891-20.2021"
"34493677","Interspecies activation correlations reveal functional correspondences between marmoset and human brain areas","Hori Y, Cléry JC, Selvanayagam J, Schaeffer DJ, Johnston KD, Menon RS, Everling S.","Proc Natl Acad Sci U S A. 2021 Sep 14;118(37):e2110980118. doi: 10.1073/pnas.2110980118.","Hori Y","Proc Natl Acad Sci U S A","2021","2021/09/08","PMC8449355","","10.1073/pnas.2110980118"
"34478442","Learning brain dynamics for decoding and predicting individual differences","Misra J, Surampudi SG, Venkatesh M, Limbachia C, Jaja J, Pessoa L.","PLoS Comput Biol. 2021 Sep 3;17(9):e1008943. doi: 10.1371/journal.pcbi.1008943. eCollection 2021 Sep.","Misra J","PLoS Comput Biol","2021","2021/09/03","PMC8445454","","10.1371/journal.pcbi.1008943"
"34358659","The longitudinal relationship between BOLD signal variability changes and white matter maturation during early childhood","Wang H, Ghaderi A, Long X, Reynolds JE, Lebel C, Protzner AB.","Neuroimage. 2021 Nov 15;242:118448. doi: 10.1016/j.neuroimage.2021.118448. Epub 2021 Aug 3.","Wang H","Neuroimage","2021","2021/08/06","","","10.1016/j.neuroimage.2021.118448"
"34278616","A Stretchable and Transparent Electrode Based on PEGylated Silk Fibroin for In Vivo Dual-Modal Neural-Vascular Activity Probing","Cui Y, Zhang F, Chen G, Yao L, Zhang N, Liu Z, Li Q, Zhang F, Cui Z, Zhang K, Li P, Cheng Y, Zhang S, Chen X.","Adv Mater. 2021 Aug;33(34):e2100221. doi: 10.1002/adma.202100221. Epub 2021 Jul 18.","Cui Y","Adv Mater","2021","2021/07/19","","","10.1002/adma.202100221"
"34161315","Behavioral correlates of cortical semantic representations modeled by word vectors","Nishida S, Blanc A, Maeda N, Kado M, Nishimoto S.","PLoS Comput Biol. 2021 Jun 23;17(6):e1009138. doi: 10.1371/journal.pcbi.1009138. eCollection 2021 Jun.","Nishida S","PLoS Comput Biol","2021","2021/06/23","PMC8260002","","10.1371/journal.pcbi.1009138"
"34122572","Pre-clinical dosimetry of a new six-channel applicator for high-dose-rate treatment of esophageal cancer","Zhao A, Gao S, Greskovich J, Wilkinson DA.","J Contemp Brachytherapy. 2021 Jun;13(3):318-324. doi: 10.5114/jcb.2021.106049. Epub 2021 May 12.","Zhao A","J Contemp Brachytherapy","2021","2021/06/14","PMC8170515","","10.5114/jcb.2021.106049"
"34056837","On the MLC leaves alignment in the direction orthogonal to movement","Latifi K, Lotey R, Feygelman V.","J Appl Clin Med Phys. 2021 Jun;22(6):268-273. doi: 10.1002/acm2.13267. Epub 2021 May 30.","Latifi K","J Appl Clin Med Phys","2021","2021/05/31","PMC8200498","","10.1002/acm2.13267"
"34049888","Cortical response to naturalistic stimuli is largely predictable with deep neural networks","Khosla M, Ngo GH, Jamison K, Kuceyeski A, Sabuncu MR.","Sci Adv. 2021 May 28;7(22):eabe7547. doi: 10.1126/sciadv.abe7547. Print 2021 May.","Khosla M","Sci Adv","2021","2021/05/29","PMC8163078","","10.1126/sciadv.abe7547"
"33991696","Generalizable dimensions of human cortical auditory processing of speech in natural soundscapes: A data-driven ultra high field fMRI approach","Boos M, Lücke J, Rieger JW.","Neuroimage. 2021 Aug 15;237:118106. doi: 10.1016/j.neuroimage.2021.118106. Epub 2021 May 12.","Boos M","Neuroimage","2021","2021/05/15","","","10.1016/j.neuroimage.2021.118106"
"33980852","Bidirectional propagation of low frequency oscillations over the human hippocampal surface","Kleen JK, Chung JE, Sellers KK, Zhou J, Triplett M, Lee K, Tooker A, Haque R, Chang EF.","Nat Commun. 2021 May 12;12(1):2764. doi: 10.1038/s41467-021-22850-5.","Kleen JK","Nat Commun","2021","2021/05/13","PMC8115072","","10.1038/s41467-021-22850-5"
"33977054","MRI-Compatible and Conformal Electrocorticography Grids for Translational Research","Fallegger F, Schiavone G, Pirondini E, Wagner FB, Vachicouras N, Serex L, Zegarek G, May A, Constanthin P, Palma M, Khoshnevis M, Van Roost D, Yvert B, Courtine G, Schaller K, Bloch J, Lacour SP.","Adv Sci (Weinh). 2021 Mar 8;8(9):2003761. doi: 10.1002/advs.202003761. eCollection 2021 May.","Fallegger F","Adv Sci (Weinh)","2021","2021/05/12","PMC8097365","","10.1002/advs.202003761"
"33926998","Responses to Heartbeats in Ventromedial Prefrontal Cortex Contribute to Subjective Preference-Based Decisions","Azzalini D, Buot A, Palminteri S, Tallon-Baudry C.","J Neurosci. 2021 Jun 9;41(23):5102-5114. doi: 10.1523/JNEUROSCI.1932-20.2021. Epub 2021 Apr 29.","Azzalini D","J Neurosci","2021","2021/04/30","PMC8197644","","10.1523/JNEUROSCI.1932-20.2021"
"33884953","Anticipation of temporally structured events in the brain","Lee CS, Aly M, Baldassano C.","Elife. 2021 Apr 22;10:e64972. doi: 10.7554/eLife.64972.","Lee CS","Elife","2021","2021/04/22","PMC8169103","","10.7554/eLife.64972"
"33762217","Hybrid hyperalignment: A single high-dimensional model of shared information embedded in cortical patterns of response and functional connectivity","Busch EL, Slipski L, Feilong M, Guntupalli JS, Castello MVDO, Huckins JF, Nastase SA, Gobbini MI, Wager TD, Haxby JV.","Neuroimage. 2021 Jun;233:117975. doi: 10.1016/j.neuroimage.2021.117975. Epub 2021 Mar 21.","Busch EL","Neuroimage","2021","2021/03/25","PMC8273921","NIHMS1714819","10.1016/j.neuroimage.2021.117975"
"33732435","A studyforrest extension, an annotation of spoken language in the German dubbed movie ""Forrest Gump"" and its audio-description","Häusler CO, Hanke M.","F1000Res. 2021 Jan 28;10:54. doi: 10.12688/f1000research.27621.1. eCollection 2021.","Häusler CO","F1000Res","2021","2021/03/18","PMC7921887","","10.12688/f1000research.27621.1"
"33677010","PD1 blockade potentiates the therapeutic efficacy of photothermally-activated and MRI-guided low temperature-sensitive magnetoliposomes","Ma G, Kostevšek N, Monaco I, Ruiz A, Markelc B, Cheung CCL, Hudoklin S, Kreft ME, Hassan HAFM, Barker M, Conyard J, Hall C, Meech S, Mayes AG, Serša I, Čemažar M, Marković K, Ščančar J, Franchini MC, Al-Jamal WT.","J Control Release. 2021 Apr 10;332:419-433. doi: 10.1016/j.jconrel.2021.03.002. Epub 2021 Mar 4.","Ma G","J Control Release","2021","2021/03/07","","","10.1016/j.jconrel.2021.03.002"
"33675997","Consistency of functional connectivity across different movies","Tian L, Ye M, Chen C, Cao X, Shen T.","Neuroimage. 2021 Jun;233:117926. doi: 10.1016/j.neuroimage.2021.117926. Epub 2021 Mar 3.","Tian L","Neuroimage","2021","2021/03/06","","","10.1016/j.neuroimage.2021.117926"
"33633619","Multivariate Identification of Functional Neural Networks Underpinning Humorous Movie Viewing","Lin FH, Lee HJ, Kuo WJ, Jääskeläinen IP.","Front Psychol. 2021 Feb 9;11:547353. doi: 10.3389/fpsyg.2020.547353. eCollection 2020.","Lin FH","Front Psychol","2021","2021/02/26","PMC7901965","","10.3389/fpsyg.2020.547353"
"33613187","Cross-Subject EEG-Based Emotion Recognition Through Neural Networks With Stratified Normalization","Fdez J, Guttenberg N, Witkowski O, Pasquali A.","Front Neurosci. 2021 Feb 3;15:626277. doi: 10.3389/fnins.2021.626277. eCollection 2021.","Fdez J","Front Neurosci","2021","2021/02/22","PMC7888301","","10.3389/fnins.2021.626277"
