PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37367134","Drying Process of HPMC-Based Hard Capsules: Visual Experiment and Mathematical Modeling","He C, Yang Y, Zhang M, Zhou K, Huang Y, Zhang N, Ye J, Arowo M, Zheng B, Zhang X, Xu H, Xiao M.","Gels. 2023 Jun 5;9(6):463. doi: 10.3390/gels9060463.","He C","Gels","2023","2023/06/27","PMC10298255","","10.3390/gels9060463"
"37336263","Hippocampus-Centered Network Is Associated With Positive Symptom Alleviation in Patients With First-Episode Psychosis","Alho J, Lahnakoski JM, Panula JM, Rikandi E, Mäntylä T, Lindgren M, Kieseppä T, Suvisaari J, Sams M, Raij TT.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2023 Jun 17:S2451-9022(23)00145-3. doi: 10.1016/j.bpsc.2023.06.002. Online ahead of print.","Alho J","Biol Psychiatry Cogn Neurosci Neuroimaging","2023","2023/06/19","","","10.1016/j.bpsc.2023.06.002"
"37325041","Time-of-day influences resting-state functional cortical connectivity","Iester C, Biggio M, Cutini S, Brigadoi S, Papaxanthis C, Brichetto G, Bove M, Bonzano L.","Front Neurosci. 2023 May 31;17:1192674. doi: 10.3389/fnins.2023.1192674. eCollection 2023.","Iester C","Front Neurosci","2023","2023/06/16","PMC10264597","","10.3389/fnins.2023.1192674"
"37296131","Waves traveling over a map of visual space can ignite short-term predictions of sensory input","Benigno GB, Budzinski RC, Davis ZW, Reynolds JH, Muller L.","Nat Commun. 2023 Jun 9;14(1):3409. doi: 10.1038/s41467-023-39076-2.","Benigno GB","Nat Commun","2023","2023/06/09","PMC10256723","","10.1038/s41467-023-39076-2"
"37260799","Myxopapillary Ependymoma-a Case Report of Rare Multicentric Subtype and Literature Review","Almatrafi FR, Aseeri AM, Alqahtani MF, Al Mulla L, Al-Jubran S, AlOmair MA, Alsalmi S, Al-Anazi R.","Med Arch. 2023 Apr;77(2):150-154. doi: 10.5455/medarh.2023.77.150-154.","Almatrafi FR","Med Arch","2023","2023/06/01","PMC10227842","","10.5455/medarh.2023.77.150-154"
"37230126","Update on Ankle and Foot Impingement","Armstrong TM, Rowbotham E, Robinson P.","Semin Musculoskelet Radiol. 2023 Jun;27(3):256-268. doi: 10.1055/s-0043-1764387. Epub 2023 May 25.","Armstrong TM","Semin Musculoskelet Radiol","2023","2023/05/25","","","10.1055/s-0043-1764387"
"37217478","Semantic novelty modulates neural responses to visual change across the human brain","Nentwich M, Leszczynski M, Russ BE, Hirsch L, Markowitz N, Sapru K, Schroeder CE, Mehta AD, Bickel S, Parra LC.","Nat Commun. 2023 May 22;14(1):2910. doi: 10.1038/s41467-023-38576-5.","Nentwich M","Nat Commun","2023","2023/05/22","PMC10203305","","10.1038/s41467-023-38576-5"
"37214802","Microscale acoustic metamaterials as conformal sonotransparent skull prostheses","Kim G, Rabut C, Ling B, Shapiro M, Daraio C.","Res Sq. 2023 May 10:rs.3.rs-2743580. doi: 10.21203/rs.3.rs-2743580/v1. Preprint.","Kim G","Res Sq","2023","2023/05/22","PMC10197820","","10.21203/rs.3.rs-2743580/v1"
"37190834","[A comparative study of absorbable screw fixation and absorbable screw combined with suture anchor fixation in treatment of avulsion fracture of posterior cruciate ligament at tibial insertion of knee joint]","Wu S, Zhang K, Fu W, Li J.","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2023 May 15;37(5):572-577. doi: 10.7507/1002-1892.202301061.","Wu S","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi","2023","2023/05/16","PMC10196972","","10.7507/1002-1892.202301061"
"37174917","An Instance Segmentation Model Based on Deep Learning for Intelligent Diagnosis of Uterine Myomas in MRI","Pan H, Zhang M, Bai W, Li B, Wang H, Geng H, Zhao X, Zhang D, Li Y, Chen M.","Diagnostics (Basel). 2023 Apr 24;13(9):1525. doi: 10.3390/diagnostics13091525.","Pan H","Diagnostics (Basel)","2023","2023/05/13","PMC10177878","","10.3390/diagnostics13091525"
"37168206","Multidisciplinary Management of Complex Regional Pain Syndrome (CRPS) Type 1 in the Hand and Wrist: A Case Report","DeDi C, Jones M, Oikonomou K, Jengo MD.","Cureus. 2023 Apr 6;15(4):e37227. doi: 10.7759/cureus.37227. eCollection 2023 Apr.","DeDi C","Cureus","2023","2023/05/11","PMC10166377","","10.7759/cureus.37227"
"37142654","Sentiments analysis of fMRI using automatically generated stimuli labels under naturalistic paradigm","Mahrukh R, Shakil S, Malik AS.","Sci Rep. 2023 May 4;13(1):7267. doi: 10.1038/s41598-023-33734-7.","Mahrukh R","Sci Rep","2023","2023/05/04","PMC10160115","","10.1038/s41598-023-33734-7"
"37124105","Polymer nanofiber network reinforced gold electrode array for neural activity recording","Yang S, Xu K, Guan S, Zou L, Gao L, Wang J, Tian H, Li H, Fang Y, Li H.","Biomed Eng Lett. 2023 Jan 3;13(2):111-118. doi: 10.1007/s13534-022-00257-5. eCollection 2023 May.","Yang S","Biomed Eng Lett","2023","2023/05/01","PMC10130319","","10.1007/s13534-022-00257-5"
"37061128","Intracranial study in humans: Neural spectral changes during watching comedy movie of Charlie Chaplin","Axelrod V, Rozier C, Sohier E, Lehongre K, Adam C, Lambrecq V, Navarro V, Naccache L.","Neuropsychologia. 2023 Jul 4;185:108558. doi: 10.1016/j.neuropsychologia.2023.108558. Epub 2023 Apr 14.","Axelrod V","Neuropsychologia","2023","2023/04/15","","","10.1016/j.neuropsychologia.2023.108558"
"37050693","Aluminum Thin Film Nanostructure Traces in Pediatric EEG Net for MRI and CT Artifact Reduction","Jeong H, Ntolkeras G, Warbrick T, Jaschke M, Gupta R, Lev MH, Peters JM, Grant PE, Bonmassar G.","Sensors (Basel). 2023 Mar 31;23(7):3633. doi: 10.3390/s23073633.","Jeong H","Sensors (Basel)","2023","2023/04/13","PMC10098641","","10.3390/s23073633"
"37050598","The MotoNet: A 3 Tesla MRI-Conditional EEG Net with Embedded Motion Sensors","Levitt J, van der Kouwe A, Jeong H, Lewis LD, Bonmassar G.","Sensors (Basel). 2023 Mar 28;23(7):3539. doi: 10.3390/s23073539.","Levitt J","Sensors (Basel)","2023","2023/04/13","PMC10098760","","10.3390/s23073539"
"37031232","The Queensland Twin Adolescent Brain Project, a longitudinal study of adolescent brain development","Strike LT, Hansell NK, Chuang KH, Miller JL, de Zubicaray GI, Thompson PM, McMahon KL, Wright MJ.","Sci Data. 2023 Apr 8;10(1):195. doi: 10.1038/s41597-023-02038-w.","Strike LT","Sci Data","2023","2023/04/08","PMC10082846","","10.1038/s41597-023-02038-w"
"37030414","Decoding brain basis of laughter and crying in natural scenes","Nummenmaa L, Malèn T, Nazari-Farsani S, Seppälä K, Sun L, Santavirta S, Karlsson HK, Hudson M, Hirvonen J, Sams M, Scott S, Putkinen V.","Neuroimage. 2023 Jun;273:120082. doi: 10.1016/j.neuroimage.2023.120082. Epub 2023 Apr 7.","Nummenmaa L","Neuroimage","2023","2023/04/08","","","10.1016/j.neuroimage.2023.120082"
"35593869","Shoulder Arthrogram","Crossan K, Rawson D.","2023 Apr 3. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2023 Jan–.","Crossan KRawson D","StatPearls","2023","2023/04/03","","",""
"36999915","Neural correlates of sleep-induced benefits on traumatic memory processing","Gvozdanovic G, Schoch S, Stämpfli P, Seifritz E, Rasch B.","Hum Brain Mapp. 2023 Jun 15;44(9):3506-3518. doi: 10.1002/hbm.26294. Epub 2023 Mar 31.","Gvozdanovic G","Hum Brain Mapp","2023","2023/03/31","PMC10203801","","10.1002/hbm.26294"
"36996005","A standardized database of Chinese emotional short videos based on age and gender differences","Duan D, Zhong W, Ran S, Ye L, Zhang Q.","PLoS One. 2023 Mar 30;18(3):e0283573. doi: 10.1371/journal.pone.0283573. eCollection 2023.","Duan D","PLoS One","2023","2023/03/30","PMC10062648","","10.1371/journal.pone.0283573"
"36994470","Individual differences in neural event segmentation of continuous experiences","Sava-Segal C, Richards C, Leung M, Finn ES.","Cereb Cortex. 2023 Jun 20;33(13):8164-8178. doi: 10.1093/cercor/bhad106.","Sava-Segal C","Cereb Cortex","2023","2023/03/30","PMC10321113","","10.1093/cercor/bhad106"
"36958619","Functional organization of social perception networks in the human brain","Santavirta S, Karjalainen T, Nazari-Farsani S, Hudson M, Putkinen V, Seppälä K, Sun L, Glerean E, Hirvonen J, Karlsson HK, Nummenmaa L.","Neuroimage. 2023 May 15;272:120025. doi: 10.1016/j.neuroimage.2023.120025. Epub 2023 Mar 22.","Santavirta S","Neuroimage","2023","2023/03/23","PMC10112277","","10.1016/j.neuroimage.2023.120025"
"36936613","Dynamic Effective Connectivity using Physiologically informed Dynamic Causal Model with Recurrent Units: A functional Magnetic Resonance Imaging simulation study","Nag S, Uludag K.","Front Hum Neurosci. 2023 Mar 1;17:1001848. doi: 10.3389/fnhum.2023.1001848. eCollection 2023.","Nag S","Front Hum Neurosci","2023","2023/03/20","PMC10014816","","10.3389/fnhum.2023.1001848"
"36934622","Experimental induction of peritraumatic dissociation: The role of negative affect and pain and their psychophysiological and neural correlates","Danböck SK, Franke LK, Miedl SF, Liedlgruber M, Bürkner PC, Wilhelm FH.","Behav Res Ther. 2023 May;164:104289. doi: 10.1016/j.brat.2023.104289. Epub 2023 Mar 10.","Danböck SK","Behav Res Ther","2023","2023/03/19","","","10.1016/j.brat.2023.104289"
"36926210","Early MRI for Pediatric Wrist Injuries-Prospective Case Series of 150 Cases","Courcey C, Jester A, Kaur S, Lindau TR, Oestreich K.","J Wrist Surg. 2022 Sep 29;12(2):96-103. doi: 10.1055/s-0042-1753508. eCollection 2023 Apr.","Courcey C","J Wrist Surg","2022","2023/03/17","PMC10010895","","10.1055/s-0042-1753508"
"36921679","Cortical gradients during naturalistic processing are hierarchical and modality-specific","Samara A, Eilbott J, Margulies DS, Xu T, Vanderwal T.","Neuroimage. 2023 May 1;271:120023. doi: 10.1016/j.neuroimage.2023.120023. Epub 2023 Mar 13.","Samara A","Neuroimage","2023","2023/03/15","","","10.1016/j.neuroimage.2023.120023"
"36918579","Connectivity alterations of mesostriatal pathways in first episode psychosis","Hayward NMEA, Triana AM, Panula JM, Kieseppä T, Suvisaari J, Raij TT.","Schizophrenia (Heidelb). 2023 Mar 14;9(1):15. doi: 10.1038/s41537-023-00339-y.","Hayward NMEA","Schizophrenia (Heidelb)","2023","2023/03/15","PMC10014938","","10.1038/s41537-023-00339-y"
"36894316","Angular Gyrus Responses Show Joint Statistical Dependence with Brain Regions Selective for Different Categories","Fang M, Aglinskas A, Li Y, Anzellotti S.","J Neurosci. 2023 Apr 12;43(15):2756-2766. doi: 10.1523/JNEUROSCI.1283-22.2023. Epub 2023 Mar 9.","Fang M","J Neurosci","2023","2023/03/09","PMC10089240","","10.1523/JNEUROSCI.1283-22.2023"
"36862110","Development and clinical application of a GPU-based Monte Carlo dose verification module and software for 1.5 T MR-LINAC","Cheng B, Xu Y, Li S, Ren Q, Pei X, Men K, Dai J, Xu XG.","Med Phys. 2023 May;50(5):3172-3183. doi: 10.1002/mp.16337. Epub 2023 Mar 14.","Cheng B","Med Phys","2023","2023/03/02","","","10.1002/mp.16337"
"36848968","Mixed emotions to social situations: An fMRI investigation","Murray RJ, Kreibig SD, Pehrs C, Vuilleumier P, Gross JJ, Samson AC.","Neuroimage. 2023 May 1;271:119973. doi: 10.1016/j.neuroimage.2023.119973. Epub 2023 Feb 26.","Murray RJ","Neuroimage","2023","2023/02/27","","","10.1016/j.neuroimage.2023.119973"
"36838100","Easily Attach/Detach Reattachable EEG Headset with Candle-like Microneedle Electrodes","Kawana T, Zemba Y, Ichikawa R, Miki N.","Micromachines (Basel). 2023 Feb 6;14(2):400. doi: 10.3390/mi14020400.","Kawana T","Micromachines (Basel)","2023","2023/02/25","PMC9963435","","10.3390/mi14020400"
"36819296","Assessing awareness in severe Alzheimer's disease","Huntley J, Bor D, Deng F, Mancuso M, Mediano PAM, Naci L, Owen AM, Rocchi L, Sternin A, Howard R.","Front Hum Neurosci. 2023 Feb 1;16:1035195. doi: 10.3389/fnhum.2022.1035195. eCollection 2022.","Huntley J","Front Hum Neurosci","2023","2023/02/23","PMC9930987","","10.3389/fnhum.2022.1035195"
"36791897","Functional connectivity profiles of the default mode and visual networks reflect temporal accumulative effects of sustained naturalistic emotional experience","Xu S, Zhang Z, Li L, Zhou Y, Lin D, Zhang M, Zhang L, Huang G, Liu X, Becker B, Liang Z.","Neuroimage. 2023 Apr 1;269:119941. doi: 10.1016/j.neuroimage.2023.119941. Epub 2023 Feb 13.","Xu S","Neuroimage","2023","2023/02/15","","","10.1016/j.neuroimage.2023.119941"
"36781907","Self-aligned multi-layer X-ray absorption grating using large-area fabrication methods for X-ray phase-contrast imaging","Pil-Ali A, Adnani S, Karim KS.","Sci Rep. 2023 Feb 13;13(1):2508. doi: 10.1038/s41598-023-29580-2.","Pil-Ali A","Sci Rep","2023","2023/02/13","PMC9925796","","10.1038/s41598-023-29580-2"
"36779414","Humidity-Tolerant Moisture-Driven Energy Generator with MXene Aerogel-Organohydrogel Bilayer","Zhao K, Lee JW, Yu ZG, Jiang W, Oh JW, Kim G, Han H, Kim Y, Lee K, Lee S, Kim H, Kim T, Lee CE, Lee H, Jang J, Park JW, Zhang YW, Park C.","ACS Nano. 2023 Mar 28;17(6):5472-5485. doi: 10.1021/acsnano.2c10747. Epub 2023 Feb 13.","Zhao K","ACS Nano","2023","2023/02/13","","","10.1021/acsnano.2c10747"
"36778481","Individual differences in time-varying and stationary brain connectivity during movie watching from childhood to early adulthood: age, sex, and behavioral associations","Di X, Xu T, Uddin LQ, Biswal BB.","bioRxiv. 2023 Jun 14:2023.01.30.526311. doi: 10.1101/2023.01.30.526311. Preprint.","Di X","bioRxiv","2023","2023/02/13","PMC9915503","","10.1101/2023.01.30.526311"
"36773282","Pattern recognition reveals sex-dependent neural substrates of sexual perception","Putkinen V, Nazari-Farsani S, Karjalainen T, Santavirta S, Hudson M, Seppälä K, Sun L, Karlsson HK, Hirvonen J, Nummenmaa L.","Hum Brain Mapp. 2023 Apr 15;44(6):2543-2556. doi: 10.1002/hbm.26229. Epub 2023 Feb 11.","Putkinen V","Hum Brain Mapp","2023","2023/02/11","PMC10028630","","10.1002/hbm.26229"
"36758449","Aberrant functional connectivity of the bed nucleus of the stria terminalis and its age dependence in children and adolescents with social anxiety disorder","Jin S, Liu W, Hu Y, Liu Z, Xia Y, Zhang X, Ding Y, Zhang L, Xie S, Ma C, Kang Y, Hu Z, Cheng W, Yang Z.","Asian J Psychiatr. 2023 Apr;82:103498. doi: 10.1016/j.ajp.2023.103498. Epub 2023 Feb 1.","Jin S","Asian J Psychiatr","2023","2023/02/09","","","10.1016/j.ajp.2023.103498"
"36756635","Ewww-Investigating the neural basis of disgust in response to naturalistic and pictorial nauseating stimuli","Berretz G, Dutschke C, Leonard E, Packheiser J.","Front Psychiatry. 2023 Jan 23;13:1054224. doi: 10.3389/fpsyt.2022.1054224. eCollection 2022.","Berretz G","Front Psychiatry","2023","2023/02/09","PMC9899807","","10.3389/fpsyt.2022.1054224"
"36752641","Neural unscrambling of temporal information during a nonlinear narrative","Grall C, Equita J, Finn ES.","Cereb Cortex. 2023 May 24;33(11):7001-7014. doi: 10.1093/cercor/bhad015.","Grall C","Cereb Cortex","2023","2023/02/08","PMC10233248","","10.1093/cercor/bhad015"
"36741776","Dataset size considerations for robust acoustic and phonetic speech encoding models in EEG","Desai M, Field AM, Hamilton LS.","Front Hum Neurosci. 2023 Jan 20;16:1001171. doi: 10.3389/fnhum.2022.1001171. eCollection 2022.","Desai M","Front Hum Neurosci","2023","2023/02/06","PMC9895838","","10.3389/fnhum.2022.1001171"
"36723735","Structural and Functional Changes of the Thoracic Aorta in Experimental Arterial Hypertension","Agafonova IG, Kotelnikov VN, Geltser BI.","Bull Exp Biol Med. 2023 Jan;174(3):308-311. doi: 10.1007/s10517-023-05697-2. Epub 2023 Feb 1.","Agafonova IG","Bull Exp Biol Med","2023","2023/02/01","","","10.1007/s10517-023-05697-2"
"36720461","High-Performance Implantable Sensors based on Anisotropic Magnetoresistive La(0.67)Sr(0.33)MnO(3) for Biomedical Applications","Vera A, Martínez I, Enger LG, Guillet B, Guerrero R, Diez JM, Rousseau O, Lam Chok Sing M, Pierron V, Perna P, Hernández JJ, Rodríguez I, Calaresu I, Meier A, Huck C, Domínguez-Bajo A, González-Mayorga A, López-Dolado E, Serrano MC, Ballerini L, Pérez L, Miranda R, Flament S, González MT, Méchin L, Camarero J.","ACS Biomater Sci Eng. 2023 Feb 13;9(2):1020-1029. doi: 10.1021/acsbiomaterials.2c01147. Epub 2023 Jan 31.","Vera A","ACS Biomater Sci Eng","2023","2023/01/31","PMC9930082","","10.1021/acsbiomaterials.2c01147"
"36715716","[Lesions of the visceral mediastinum]","Ley S.","Radiologie (Heidelb). 2023 Mar;63(3):172-179. doi: 10.1007/s00117-023-01116-9. Epub 2023 Jan 30.","Ley S","Radiologie (Heidelb)","2023","2023/01/30","","","10.1007/s00117-023-01116-9"
"36704727","Neural correlates of emotion acceptance and suppression in borderline personality disorder","Fernando SC, Beblo T, Lamers A, Schlosser N, Woermann FG, Driessen M, Toepper M.","Front Psychiatry. 2023 Jan 10;13:1066218. doi: 10.3389/fpsyt.2022.1066218. eCollection 2022.","Fernando SC","Front Psychiatry","2023","2023/01/27","PMC9871986","","10.3389/fpsyt.2022.1066218"
